품목별(1),품목별(2),2018. 02,2018. 02,2018. 03,2018. 03,2018. 04,2018. 04,2018. 05,2018. 05,2018. 06,2018. 06,2018. 07,2018. 07,2018. 08,2018. 08,2018. 09,2018. 09,2018. 10,2018. 10,2018. 11,2018. 11,2018. 12,2018. 12,2019. 01,2019. 01,2019. 02,2019. 02,2019. 03,2019. 03,2019. 04,2019. 04,2019. 05,2019. 05,2019. 06,2019. 06,2019. 07,2019. 07,2019. 08,2019. 08,2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11,2019. 12,2019. 12
품목별(1),품목별(2),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
기계 및 운수장비,도로 주행 차량,4242630,1195815,5407912,1750189,5276631,1411015,5292241,1543335,5160207,1529820,4859017,1340363,4422191,1447721,4455795,887132,5751560,1436512,5619070,1432251,5297501,1397046,5416829,1183358,4276302,975044,5322761,1549118,5502239,1414365,5592205,1303465,5198433,1200614,5549402,1533934,4477374,1480122,4594854,1211088,5498677,1650985,5417469,1285221,5399461,1811523
기계 및 운수장비,기타 수송장비,2569569,495263,2132047,621445,2040545,277132,934603,235892,1429466,463850,1728425,612422,746181,350946,1738637,302016,1756937,247182,2167236,468466,3331190,419667,1880359,272534,1444891,165354,2232229,605196,2951463,458114,1265171,411272,2055169,335738,1588862,634165,1880718,568781,2021069,254851,1900210,99931,983742,624961,1444766,586093
기타 제조제품,조립식건축물 달리 명시되지 않은 위생연관 및 부착물,53202,60590,54717,48174,54193,66656,66190,77673,72964,65793,75255,67120,63286,65713,59192,64352,70641,73579,80380,75054,79186,73709,64249,84743,50471,47381,56863,58790,65811,74768,60927,75274,55447,64540,74875,70334,71360,62614,71857,63692,74851,68350,58178,70890,58394,80781
기타 제조제품,가구 및 부분품;침대에트리스쿠션,83852,194287,97902,188861,100719,227509,101693,233236,99246,211368,111544,213012,98521,216533,90132,200582,107759,242140,115720,235448,102336,220158,111278,257673,80971,178005,96659,201986,98442,248489,95527,229698,83425,205152,91951,228381,82212,226999,90795,233053,99167,239252,97895,225759,94658,248857
기타 제조제품,여행용 핸드백 및 유사용기,12912,192471,17226,198517,21759,202891,23615,209845,21967,201726,23396,218722,27434,190714,17129,173315,23486,236727,25763,205460,18590,220234,24387,259260,20599,170548,21731,230511,35502,249571,23689,223068,22136,223189,27557,254283,23203,213312,21015,219267,32353,245922,23273,242403,20847,268367
기타 제조제품,의복제품 및 의복부속품,125469,757586,173594,784809,178834,788187,192321,641177,213883,704468,186061,875117,169862,1095690,155016,1172975,175816,1383363,193488,923533,177466,783596,157338,1010396,118017,674182,159116,887420,166009,833542,194045,632343,170158,686442,169543,1021307,136657,1212320,148692,1326343,170655,1164537,178530,763647,163018,804490
기타 제조제품,신발,32705,275613,39691,289927,40504,287293,40126,264808,44651,260870,47470,265136,44191,231995,39439,242311,45897,269978,46031,216393,44886,264956,38966,342109,34268,220854,42893,294518,39689,289132,34951,250167,40096,259423,43218,269911,42319,247841,36227,297018,45468,279506,41436,235895,45361,278705
기타 제조제품,달리 명시되지 않은 전문과학통제기구 및 장치,1469216,1327696,1787132,1568301,1743092,1629031,1710076,1540353,1871661,1596990,1815679,1575940,2070988,1419766,1842654,1311034,2028676,1447744,1543496,1265195,1453743,1209818,1227607,1105586,982532,933086,1239393,1128482,1189131,1265631,1258715,1115090,1126474,1052311,1182907,1154881,1316874,1100969,1145077,1147234,1197906,1116630,1140872,1153723,1206096,1314620
기타 제조제품,달리 명시되지 않은 사진장치 및 광학용품 휴대시계 및 큰시계,410057,387970,467813,432813,458169,421066,459695,408562,466964,409183,467271,461691,518307,487432,473431,476417,536666,508450,499646,441717,482369,409089,507430,382640,427101,333909,481435,394063,491517,447060,505921,403376,477488,394086,518247,497543,490739,472960,470991,447329,470226,453181,443918,399776,466779,447600
기타 제조제품,달리 분류되지 않은 잡제품,594152,690775,781469,759920,762492,918624,791593,871567,823556,820923,756051,808400,662840,917075,1055673,799762,1148011,970097,1013608,815697,862013,893981,842777,856940,751925,669690,847406,835738,852537,939539,931696,1242257,1023691,731089,1061102,851242,1019962,828607,1130475,781905,1321640,863258,1292637,1013545,1292738,916722
